
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         666517 function calls (634389 primitive calls) in 5.552 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
      940    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(amax)
      938    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(amin)
      103    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
      102    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
      121    0.000    0.000    0.202    0.002 <__array_function__ internals>:2(clip)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
      103    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(copyto)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
     2614    0.003    0.000    0.011    0.000 <__array_function__ internals>:2(dot)
    24990    0.021    0.000    0.051    0.000 <__array_function__ internals>:2(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
      306    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(min_scalar_type)
      245    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
      102    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(ones_like)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
       47    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(reshape)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
    24888    0.027    0.000    0.743    0.000 <__array_function__ internals>:2(roll)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(searchsorted)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       96    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     2040    2.184    0.001    2.184    0.001 LatticeBoltzmannDemo.py:109(collide)
      102    0.004    0.000    0.017    0.000 LatticeBoltzmannDemo.py:137(curl)
      103    0.008    0.000    3.129    0.030 LatticeBoltzmannDemo.py:152(nextFrame)
     2040    0.176    0.000    0.906    0.000 LatticeBoltzmannDemo.py:84(stream)
      704    0.001    0.000    0.001    0.000 __init__.py:100(check_in_list)
        5    0.000    0.000    0.000    0.000 __init__.py:101(_cnfmerge)
        1    0.000    0.000    0.000    0.000 __init__.py:1098(get_backend)
      319    0.000    0.000    0.001    0.000 __init__.py:1116(is_interactive)
        2    0.000    0.000    0.000    0.000 __init__.py:112(_weak_or_strong_ref)
       96    0.000    0.000    0.000    0.000 __init__.py:1312(is_math_text)
      209    0.000    0.000    0.001    0.000 __init__.py:1325(_to_unmasked_float_array)
       53    0.000    0.000    0.001    0.000 __init__.py:133(check_shape)
      705    0.000    0.000    0.001    0.000 __init__.py:1446(debug)
        1    0.000    0.000    5.532    5.532 __init__.py:1456(mainloop)
        3    0.000    0.000    0.000    0.000 __init__.py:1497(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1523(nametowidget)
      159    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
      104    0.001    0.000    0.002    0.000 __init__.py:1542(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1566(_root)
        1    0.000    0.000    0.000    0.000 __init__.py:1576(_substitute)
       11    0.000    0.000    0.000    0.000 __init__.py:1582(getint_event)
       48    0.000    0.000    0.000    0.000 __init__.py:1654(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:1655(_configure)
        2    0.000    0.000    0.000    0.000 __init__.py:1668(configure)
       96    0.000    0.000    0.000    0.000 __init__.py:170(__init__)
      705    0.000    0.000    0.000    0.000 __init__.py:1715(isEnabledFor)
       80    0.001    0.000    0.002    0.000 __init__.py:1726(normalize_kwargs)
       80    0.000    0.000    0.000    0.000 __init__.py:1791(<dictcomp>)
       80    0.000    0.000    0.000    0.000 __init__.py:1805(<listcomp>)
       80    0.000    0.000    0.000    0.000 __init__.py:1810(<listcomp>)
      927    0.001    0.000    0.001    0.000 __init__.py:1879(_str_equal)
       64    0.000    0.000    0.000    0.000 __init__.py:1890(_str_lower_equal)
      104    0.000    0.000    0.000    0.000 __init__.py:1910(__init__)
      104    0.000    0.000    5.384    0.052 __init__.py:1916(__call__)
        2    0.000    0.000    0.007    0.004 __init__.py:1986(wm_attributes)
        2    0.000    0.000    0.000    0.000 __init__.py:200(connect)
        1    0.000    0.000    0.012    0.012 __init__.py:2039(wm_deiconify)
      688    0.002    0.000    0.003    0.000 __init__.py:2094(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:2218(wm_protocol)
        3    0.000    0.000    0.000    0.000 __init__.py:233(disconnect)
  549/547    0.001    0.000    0.110    0.000 __init__.py:259(process)
        1    0.000    0.000    0.001    0.001 __init__.py:2797(_create)
        1    0.000    0.000    0.001    0.001 __init__.py:2817(create_image)
        1    0.000    0.000    0.000    0.000 __init__.py:2850(delete)
        1    0.000    0.000    0.002    0.002 __init__.py:4023(__init__)
      104    0.000    0.000    0.000    0.000 __init__.py:4041(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:4043(__del__)
        1    0.000    0.000    0.002    0.002 __init__.py:4088(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:4095(blank)
       16    0.000    0.000    0.000    0.000 __init__.py:590(__setitem__)
     4903    0.004    0.000    0.006    0.000 __init__.py:604(__getitem__)
      516    0.002    0.000    0.003    0.000 __init__.py:64(check_isinstance)
      103    0.000    0.000    0.001    0.000 __init__.py:668(deletecommand)
      102    0.001    0.000    0.010    0.000 __init__.py:735(safe_masked_invalid)
      840    0.000    0.000    0.000    0.000 __init__.py:79(<genexpr>)
      103    0.000    0.000    0.003    0.000 __init__.py:825(after)
      103    0.000    0.000    5.324    0.052 __init__.py:837(callit)
        1    0.000    0.000    0.000    0.000 __init__.py:853(after_idle)
        4    0.000    0.000    0.000    0.000 __init__.py:855(__contains__)
      978    0.001    0.000    0.002    0.000 __init__.py:858(clean)
      978    0.000    0.000    0.000    0.000 __init__.py:861(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:861(after_cancel)
