
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         668688 function calls (636552 primitive calls) in 5.554 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2040    2.213    0.001    2.213    0.001 LatticeBoltzmannDemo.py:109(collide)
      408    0.722    0.002    0.752    0.002 {built-in method matplotlib._image.resample}
    24888    0.549    0.000    0.685    0.000 numeric.py:1140(roll)
      102    0.202    0.002    0.202    0.002 {built-in method matplotlib.backends._tkagg.blit}
      121    0.199    0.002    0.199    0.002 _methods.py:106(_clip_dep_invoke_with_casting)
     2040    0.179    0.000    0.924    0.000 LatticeBoltzmannDemo.py:84(stream)
        1    0.160    0.160    5.540    5.540 {method 'mainloop' of '_tkinter.tkapp' objects}
      102    0.135    0.001    0.135    0.001 {method 'take' of 'numpy.ndarray' objects}
      204    0.110    0.001    1.647    0.008 image.py:307(_make_image)
55838/30407    0.080    0.000    0.970    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      102    0.074    0.001    0.508    0.005 colors.py:588(__call__)
     2700    0.072    0.000    0.072    0.000 {built-in method numpy.array}
      204    0.052    0.000    0.054    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      510    0.049    0.000    0.049    0.000 {built-in method numpy.zeros}
    24888    0.043    0.000    0.066    0.000 numeric.py:1335(normalize_axis_tuple)
      358    0.040    0.000    0.040    0.000 {method 'astype' of 'numpy.ndarray' objects}
      204    0.036    0.000    1.691    0.008 image.py:917(make_image)
    24888    0.028    0.000    0.758    0.000 <__array_function__ internals>:2(roll)
     1900    0.024    0.000    0.024    0.000 {built-in method numpy.asarray}
  220/218    0.023    0.000    0.226    0.001 {method 'call' of '_tkinter.tkapp' objects}
    24990    0.021    0.000    0.052    0.000 <__array_function__ internals>:2(empty_like)
      102    0.018    0.000    0.077    0.001 colors.py:1163(__call__)
     2621    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  438/202    0.014    0.000    1.989    0.010 artist.py:33(draw_wrapper)
     4839    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
    24888    0.012    0.000    0.019    0.000 numeric.py:1385(<listcomp>)
    24888    0.011    0.000    0.011    0.000 numeric.py:1221(<dictcomp>)
      100    0.011    0.000    0.011    0.000 {method 'restore_region' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      102    0.011    0.000    0.014    0.000 image.py:202(_rgb_to_rgba)
 2594/738    0.011    0.000    0.038    0.000 transforms.py:2401(get_affine)
     1836    0.011    0.000    0.016    0.000 core.py:2948(_update_from)
     1530    0.010    0.000    0.035    0.000 core.py:2974(__array_finalize__)
       64    0.009    0.000    0.009    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      103    0.009    0.000    3.176    0.031 LatticeBoltzmannDemo.py:152(nextFrame)
    25643    0.007    0.000    0.007    0.000 {built-in method numpy.asanyarray}
    24891    0.006    0.000    0.006    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    29861    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     3375    0.006    0.000    0.016    0.000 transforms.py:1867(__init__)
      204    0.006    0.000    1.766    0.009 image.py:616(draw)
      258    0.006    0.000    0.008    0.000 inspect.py:3041(_bind)
